Date Time, Water Level, Sigma, I, L 
2004-01-01 00:00,0.741,0.106,0,0
2004-01-01 01:00,0.886,0.090,0,0
2004-01-01 02:00,1.123,0.078,0,0
2004-01-01 03:00,1.310,0.104,0,0
2004-01-01 04:00,1.525,0.102,0,0
2004-01-01 05:00,1.692,0.087,0,0
2004-01-01 06:00,1.740,0.117,0,0
2004-01-01 07:00,1.698,0.123,0,0
2004-01-01 08:00,1.539,0.087,0,0
2004-01-01 09:00,1.293,0.105,0,0
2004-01-01 10:00,1.016,0.121,0,0
2004-01-01 11:00,0.775,0.073,0,0
2004-01-01 12:00,0.561,0.090,0,0
2004-01-01 13:00,0.499,0.055,0,0
2004-01-01 14:00,0.474,0.079,0,0
2004-01-01 15:00,0.607,0.072,0,0
2004-01-01 16:00,0.725,0.070,0,0
2004-01-01 17:00,0.877,0.064,0,0
2004-01-01 18:00,1.004,0.069,0,0
2004-01-01 19:00,1.055,0.107,0,0
2004-01-01 20:00,1.061,0.098,0,0
2004-01-01 21:00,1.004,0.084,0,0
2004-01-01 22:00,0.875,0.071,0,0
2004-01-01 23:00,0.847,0.064,0,0
2004-01-02 00:00,0.808,0.087,0,0
2004-01-02 01:00,0.837,0.069,0,0
2004-01-02 02:00,0.982,0.081,0,0
2004-01-02 03:00,1.170,0.086,0,0
2004-01-02 04:00,1.416,0.087,0,0
2004-01-02 05:00,1.623,0.106,0,0
2004-01-02 06:00,1.722,0.100,0,0
2004-01-02 07:00,1.754,0.091,0,0
2004-01-02 08:00,1.594,0.154,0,0
2004-01-02 09:00,1.414,0.000,0,0
2004-01-02 10:00,1.172,0.127,0,0
2004-01-02 11:00,0.782,0.083,0,0
2004-01-02 12:00,0.521,0.089,0,0
2004-01-02 13:00,0.306,0.090,0,0
2004-01-02 14:00,0.241,0.063,0,0
2004-01-02 15:00,0.278,0.055,0,0
2004-01-02 16:00,0.421,0.069,0,0
2004-01-02 17:00,0.623,0.069,0,0
2004-01-02 18:00,0.827,0.075,0,0
2004-01-02 19:00,1.003,0.058,0,0
2004-01-02 20:00,1.087,0.074,0,0
2004-01-02 21:00,1.104,0.057,0,0
2004-01-02 22:00,1.041,0.066,0,0
2004-01-02 23:00,0.970,0.055,0,0
2004-01-03 00:00,0.922,0.058,0,0
2004-01-03 01:00,0.880,0.063,0,0
2004-01-03 02:00,0.947,0.058,0,0
2004-01-03 03:00,1.107,0.063,0,0
2004-01-03 04:00,1.300,0.079,0,0
2004-01-03 05:00,1.505,0.069,0,0
2004-01-03 06:00,1.684,0.064,0,0
2004-01-03 07:00,1.745,0.081,0,0
2004-01-03 08:00,1.695,0.086,0,0
2004-01-03 09:00,1.512,0.089,0,0
2004-01-03 10:00,1.215,0.079,0,0
2004-01-03 11:00,0.859,0.070,0,0
2004-01-03 12:00,0.519,0.077,0,0
2004-01-03 13:00,0.234,0.045,0,0
2004-01-03 14:00,0.042,0.049,0,0
2004-01-03 15:00,-0.001,0.034,0,0
2004-01-03 16:00,0.127,0.058,0,0
2004-01-03 17:00,0.317,0.049,0,0
2004-01-03 18:00,0.528,0.061,0,0
2004-01-03 19:00,0.755,0.066,0,0
2004-01-03 20:00,0.928,0.054,0,0
2004-01-03 21:00,1.031,0.061,0,0
2004-01-03 22:00,1.047,0.057,0,0
2004-01-03 23:00,0.993,0.044,0,0
2004-01-04 00:00,0.903,0.046,0,0
2004-01-04 01:00,0.860,0.061,0,0
2004-01-04 02:00,0.883,0.050,0,0
2004-01-04 03:00,0.972,0.057,0,0
2004-01-04 04:00,1.131,0.048,0,0
2004-01-04 05:00,1.351,0.043,0,0
2004-01-04 06:00,1.547,0.055,0,0
2004-01-04 07:00,1.673,0.062,0,0
2004-01-04 08:00,1.700,0.064,0,0
2004-01-04 09:00,1.576,0.051,0,0
2004-01-04 10:00,1.353,0.054,0,0
2004-01-04 11:00,1.013,0.048,0,0
2004-01-04 12:00,0.629,0.043,0,0
2004-01-04 13:00,0.273,0.040,0,0
2004-01-04 14:00,0.032,0.036,0,0
2004-01-04 15:00,-0.094,0.044,0,0
2004-01-04 16:00,-0.072,0.030,0,0
2004-01-04 17:00,0.075,0.043,0,0
2004-01-04 18:00,0.307,0.043,0,0
2004-01-04 19:00,0.576,0.040,0,0
