File Name,Moro Cojo Summer 2015 onward,,,,,,,,,,
,,,,,,,,,,,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,Depth (cm)                    ,,,,,,,
4/6/2015 15:30,5400,0.975,16.735,67.725,,,,,,,
4/6/2015 15:45,6300,0.975,15.657,67.711,,,,,,,
4/6/2015 16:00,7200,0.97,15.76,67.378,,,,,,,
4/6/2015 16:15,8100,0.976,15.914,67.801,,,,,,,
4/6/2015 16:30,9000,0.964,15.606,66.956,,,,,,,
4/6/2015 16:45,9900,0.969,15.863,67.291,,,,,,,
4/6/2015 17:00,10800,0.969,15.657,67.342,,,,,,,
4/6/2015 17:15,11700,0.965,15.76,67.01,,,,,,,
4/6/2015 17:30,12600,0.961,15.709,66.746,,,,,,,
4/6/2015 17:45,13500,0.96,15.657,66.728,,,,,,,
4/6/2015 18:00,14400,0.959,15.657,66.605,,,,,,,
4/6/2015 18:15,15300,0.96,15.657,66.728,,,,,,,
4/6/2015 18:30,16200,0.969,15.503,67.289,,,,,,,
4/6/2015 18:45,17100,0.969,15.606,67.324,,,,,,,
4/6/2015 19:00,18000,0.962,15.554,66.815,,,,,,,
4/6/2015 19:15,18900,0.952,15.657,66.113,,,,,,,
4/6/2015 19:30,19800,0.958,15.554,66.57,,,,,,,
4/6/2015 19:45,20700,0.955,15.606,66.341,,,,,,,
4/6/2015 20:00,21600,0.967,15.606,67.202,,,,,,,
4/6/2015 20:15,22500,0.965,15.451,67.025,,,,,,,
4/6/2015 20:30,23400,0.965,15.503,67.043,,,,,,,
4/6/2015 20:45,24300,0.96,15.245,66.709,,,,,,,
4/6/2015 21:00,25200,0.977,15.09,67.885,,,,,,,
4/6/2015 21:15,26100,0.983,14.884,68.307,,,,,,,
4/6/2015 21:30,27000,0.977,14.781,67.904,,,,,,,
4/6/2015 21:45,27900,0.976,14.574,67.835,,,,,,,
4/6/2015 22:00,28800,0.991,14.367,68.873,,,,,,,
4/6/2015 22:15,29700,0.978,14.264,67.979,,,,,,,
4/6/2015 22:30,30600,0.989,14.315,68.733,,,,,,,
4/6/2015 22:45,31500,0.986,14.264,68.47,,,,,,,
4/6/2015 23:00,32400,0.986,14.315,68.488,,,,,,,
4/6/2015 23:15,33300,0.992,14.419,68.89,,,,,,,
4/6/2015 23:30,34200,0.988,14.419,68.644,,,,,,,
4/6/2015 23:45,35100,0.992,14.419,68.89,,,,,,,
4/7/2015 0:00,36000,0.994,14.16,69.051,,,,,,,
4/7/2015 0:15,36900,0.995,14.057,69.141,,,,,,,
4/7/2015 0:30,37800,1.002,14.057,69.632,,,,,,,
4/7/2015 0:45,38700,1.014,14.005,70.475,,,,,,,
4/7/2015 1:00,39600,0.999,13.745,69.41,,,,,,,
4/7/2015 1:15,40500,0.995,13.642,69.131,,,,,,,
4/7/2015 1:30,41400,1,13.59,69.483,,,,,,,
4/7/2015 1:45,42300,0.99,13.59,68.746,,,,,,,
4/7/2015 2:00,43200,0.995,13.642,69.131,,,,,,,
4/7/2015 2:15,44100,0.994,13.486,69.082,,,,,,,
4/7/2015 2:30,45000,1.014,13.434,70.417,,,,,,,
4/7/2015 2:45,45900,1.008,13.33,70.016,,,,,,,
4/7/2015 3:00,46800,1.002,13.278,69.632,,,,,,,
4/7/2015 3:15,47700,1.005,13.174,69.845,,,,,,,
4/7/2015 3:30,48600,1.003,13.122,69.707,,,,,,,
4/7/2015 3:45,49500,1.019,13.018,70.78,,,,,,,
4/7/2015 4:00,50400,1.015,12.966,70.519,,,,,,,
4/7/2015 4:15,51300,1.008,12.914,70.012,,,,,,,
4/7/2015 4:30,52200,1.006,12.862,69.873,,,,,,,
4/7/2015 4:45,53100,1.013,12.862,70.365,,,,,,,
4/7/2015 5:00,54000,1.027,12.81,71.331,,,,,,,
4/7/2015 5:15,54900,1.009,12.81,70.103,,,,,,,
4/7/2015 5:30,55800,1.009,12.758,70.088,,,,,,,
4/7/2015 5:45,56700,1.002,12.706,69.581,,,,,,,
4/7/2015 6:00,57600,0.982,12.706,68.23,,,,,,,
4/7/2015 6:15,58500,0.961,12.81,66.787,,,,,,,
4/7/2015 6:30,59400,0.969,12.966,67.326,,,,,,,
4/7/2015 6:45,60300,0.948,13.07,65.883,,,,,,,
4/7/2015 7:00,61200,0.927,13.122,64.425,,,,,,,
4/7/2015 7:15,62100,0.912,13.174,63.336,,,,,,,
4/7/2015 7:30,63000,0.916,13.278,63.613,,,,,,,
4/7/2015 7:45,63900,0.903,13.278,62.753,,,,,,,
4/7/2015 8:00,64800,0.909,13.33,63.138,,,,,,,
4/7/2015 8:15,65700,0.923,13.382,64.137,,,,,,,
4/7/2015 8:30,66600,0.936,13.382,64.996,,,,,,,
4/7/2015 8:45,67500,0.941,13.434,65.381,,,,,,,
4/7/2015 9:00,68400,0.938,13.486,65.152,,,,,,,
4/7/2015 9:15,69300,0.932,13.486,64.783,,,,,,,
4/7/2015 9:30,70200,0.942,13.538,65.413,,,,,,,
4/7/2015 9:45,71100,0.938,13.538,65.168,,,,,,,
4/7/2015 10:00,72000,0.938,13.59,65.184,,,,,,,
4/7/2015 10:15,72900,0.958,13.59,66.536,,,,,,,
4/7/2015 10:30,73800,0.956,13.59,66.412,,,,,,,
4/7/2015 10:45,74700,0.969,13.642,67.289,,,,,,,
