Report Date:,11/1/2017 14:26,,,,
Report User Name:,Walter,,,,
Report Computer Name:,CCWG-HPBEATS,,,,
Application:,WinSitu.exe,,,,
Application Version:,5.6.20.1,,,,
,,,,,
,,,,,
Log File Properties,,,,,
File Name,spring 2017 cable length 33.75 i_2017-10-24_15-19-39-409.wsl,,,,
Create Date,10/24/2017 15:18,,,,
,,,,,
Device Properties,,,,,
Device,Rugged TROLL 100,,,,
Site,Moro Cojo Rail Crossing,,,,
Device Name, ,,,,
Serial Number,408133,,,,
Firmware Version,1.01,,,,
Hardware Version,0,,,,
Device Address,1,,,,
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0,,,,
Used Battery,14,,,,
,,,,,
Log Configuration,,,,,
,Log Name,spring 2017 cable length 33.75 i,,,
,Created By,Walter,,,
,Computer Name,CCWG-HPBEATS,,,
,Application,WinSitu.exe,,,
,Application Version,5.6.20.1,,,
,Create Date,2/1/2017 9:42:54 AM Pacific Standard Time,,,
,Log Setup Time Zone,Pacific Standard Time,,,
,Notes Size(bytes),4096,,,
,Overwrite when full,Disabled,,,
,Scheduled Start Time,2/1/2017 10:00:00 AM Pacific Standard Time,,,
,Scheduled Stop Time,No Stop Time,,,
,Type,Linear,,,
 ,Interval,Days: 0 hrs: 00 mins: 05 secs: 00,,,
,,,,,
,,,,,
,,,,,
Level Reference Settings At Log Creation,,,,,
,        Level Measurement Mode,Depth,,,
,              Specific Gravity,0.999,,,
,,,,,
,,,,,
Other Log Settings,,,,,
,Zero Pressure Offset:,14.7697 (PSI),,,
,Depth of Probe:,-0.837957 (cm),,,
,Head Pressure:,-0.0119066 (PSI),,,
,Temperature:,21.0017 (C),,,
,,,,,
,,,,,
,,,,,
Log Notes:,,,,,
Date and Time,Note,,,,
2/1/2017 9:42,Used Battery: 14% Used Memory: 6%   User Name: Walter,,,,
,,,,,
,,,,,
Log Data:,,,,,
Record Count,49528,,,,
,,,,,
Sensors,1,,,,
,,,,,
 ,1,408133,Pressure/Temp PSIA (9m/30ft),,
,,,,,
Time Zone: Pacific Standard Time/Pacific Daylight Time,,,,,
,,,,,
,,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,
,Elapsed Time,SN#: 408133                   ,SN#: 408133                   ,SN#: 408133                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,Depth (cm)                    ,
2/1/2017 10:00,0,-0.014,18.607,-0.964,
2/1/2017 10:05,300,-0.014,18.356,-0.954,
2/1/2017 10:10,600,-0.017,17.299,-1.224,
2/1/2017 10:15,900,-0.015,15.73,-1.076,
2/1/2017 10:20,1200,-0.026,13.997,-1.84,
2/1/2017 10:25,1500,-0.023,13.537,-1.649,
2/1/2017 10:30,1800,-0.052,13.331,-3.655,
2/1/2017 10:35,2100,-0.01,13.485,-0.694,
2/1/2017 10:40,2400,-0.013,13.844,-0.919,
2/1/2017 10:45,2700,-0.012,14.814,-0.846,
2/1/2017 10:50,3000,-0.012,16.491,-0.868,
2/1/2017 10:55,3300,-0.011,16.996,-0.793,
2/1/2017 11:00,3600,-0.007,16.491,-0.479,
2/1/2017 11:05,3900,-0.014,16.035,-0.974,
2/1/2017 11:10,4200,-0.016,15.629,-1.158,
2/1/2017 11:15,4500,-0.022,14.967,-1.524,
2/1/2017 11:20,4800,-0.022,14.406,-1.562,
2/1/2017 11:25,5100,-0.018,14.202,-1.24,
2/1/2017 11:30,5400,-0.021,14.151,-1.451,
2/1/2017 11:35,5700,-0.019,14.049,-1.338,
2/1/2017 11:40,6000,-0.025,14.304,-1.789,
2/1/2017 11:45,6300,-0.018,14.662,-1.284,
2/1/2017 11:50,6600,-0.017,14.865,-1.169,
2/1/2017 11:55,6900,-0.017,14.916,-1.2,
2/1/2017 12:00,7200,-0.023,15.018,-1.604,
2/1/2017 12:05,7500,-0.019,15.12,-1.327,
2/1/2017 12:10,7800,0.642,12.869,45.167,
2/1/2017 12:15,8100,0.856,11.529,60.248,
2/1/2017 12:20,8400,0.857,11.011,60.324,
2/1/2017 12:25,8700,0.86,11.114,60.503,
2/1/2017 12:30,9000,0.858,11.011,60.373,
2/1/2017 12:35,9300,0.857,11.166,60.325,
2/1/2017 12:40,9600,0.862,11.529,60.637,
2/1/2017 12:45,9900,0.858,11.58,60.362,
2/1/2017 12:50,10200,0.859,11.684,60.445,
2/1/2017 12:55,10500,0.858,11.684,60.396,
2/1/2017 13:00,10800,0.856,11.839,60.252,
2/1/2017 13:05,11100,0.849,11.839,59.765,
2/1/2017 13:10,11400,0.849,11.89,59.782,
2/1/2017 13:15,11700,0.843,11.787,59.359,
2/1/2017 13:20,12000,0.85,11.787,59.797,
2/1/2017 13:25,12300,0.85,11.942,59.848,
2/1/2017 13:30,12600,0.85,11.942,59.799,
2/1/2017 13:35,12900,0.843,11.89,59.296,
2/1/2017 13:40,13200,0.844,11.993,59.378,
2/1/2017 13:45,13500,0.84,12.045,59.103,
2/1/2017 13:50,13800,0.846,12.097,59.51,
2/1/2017 13:55,14100,0.842,12.097,59.266,
2/1/2017 14:00,14400,0.842,12.045,59.249,
2/1/2017 14:05,14700,0.839,12.045,59.055,
2/1/2017 14:10,15000,0.842,12.045,59.249,
2/1/2017 14:15,15300,0.838,12.251,58.977,
2/1/2017 14:20,15600,0.841,12.251,59.22,
2/1/2017 14:25,15900,0.841,12.2,59.154,
2/1/2017 14:30,16200,0.84,12.303,59.14,
2/1/2017 14:35,16500,0.839,12.406,59.028,
2/1/2017 14:40,16800,0.845,12.457,59.434,
2/1/2017 14:45,17100,0.85,12.354,59.838,
2/1/2017 14:50,17400,0.854,12.2,60.079,
2/1/2017 14:55,17700,0.855,12.2,60.176,
2/1/2017 15:00,18000,0.855,12.045,60.174,
2/1/2017 15:05,18300,0.857,12.2,60.322,
2/1/2017 15:10,18600,0.851,12.509,59.89,
2/1/2017 15:15,18900,0.854,12.457,60.067,
2/1/2017 15:20,19200,0.858,12.457,60.408,
2/1/2017 15:25,19500,0.856,12.509,60.23,
2/1/2017 15:30,19800,0.849,12.509,59.744,
2/1/2017 15:35,20100,0.849,12.457,59.775,
2/1/2017 15:40,20400,0.846,12.406,59.515,
2/1/2017 15:45,20700,0.847,12.509,59.598,
2/1/2017 15:50,21000,0.846,12.56,59.517,
2/1/2017 15:55,21300,0.841,12.406,59.174,
2/1/2017 16:00,21600,0.846,12.406,59.563,
2/1/2017 16:05,21900,0.853,12.251,60.048,
2/1/2017 16:10,22200,0.855,12.406,60.147,
2/1/2017 16:15,22500,0.857,12.457,60.311,
2/1/2017 16:20,22800,0.856,12.406,60.245,
2/1/2017 16:25,23100,0.866,12.303,60.941,
2/1/2017 16:30,23400,0.867,12.406,61.024,
2/1/2017 16:35,23700,0.861,12.406,60.585,
2/1/2017 16:40,24000,0.863,12.406,60.732,
2/1/2017 16:45,24300,0.862,12.612,60.654,
2/1/2017 16:50,24600,0.853,12.457,60.019,
2/1/2017 16:55,24900,0.852,12.612,59.973,
2/1/2017 17:00,25200,0.864,12.56,60.783,
2/1/2017 17:05,25500,0.858,12.457,60.36,
2/1/2017 17:10,25800,0.854,12.56,60.101,
2/1/2017 17:15,26100,0.857,12.457,60.311,
